# Logfile created on 2019-04-02 18:19:56 +0300 by logger.rb/66358
I, [2019-04-02T18:19:56.071445 #37836]  INFO -- : (0.001680s) PRAGMA foreign_keys = 1
I, [2019-04-02T18:23:40.791416 #38284]  INFO -- : (0.000182s) SELECT * FROM `tasks` WHERE (`id` = 36) LIMIT 1
I, [2019-04-02T18:23:41.069905 #38284]  INFO -- : (0.000824s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''node'' occur more frequently in the ''variables''?', `answer` = 'beaker-module_install_helper', `our` = 'beaker-module_install_helper', `left` = 'beaker-module_install_helper', `right` = 'chef-helpers', `timestamp` = '2019-04-02 18:23:40.712195', `session_id` = 607 WHERE (`id` = 36)
I, [2019-04-02T18:23:41.070257 #38284]  INFO -- : (0.000204s) SELECT * FROM `tasks` WHERE (`id` = 36) LIMIT 1
I, [2019-04-02T18:23:43.264603 #38284]  INFO -- : (0.000997s) INSERT INTO `tasks` (`id`, `title`, `answer`, `our`, `left`, `right`, `timestamp`, `session_id`) VALUES (NULL, 'In which gems of two, does the word ''example'' occur more frequently in the ''variables''?', NULL, NULL, 'unicorn-worker-killer', 'rspec-set', '2019-04-02 18:23:43.254026', 607)
I, [2019-04-02T18:23:43.335830 #38284]  INFO -- : (0.001418s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''example'' occur more frequently in the ''variables''?', `answer` = NULL, `our` = 'unicorn-worker-killer', `left` = 'unicorn-worker-killer', `right` = 'rspec-set', `timestamp` = '2019-04-02 18:23:43.254026', `session_id` = 607 WHERE (`id` = 37)
I, [2019-04-02T18:23:43.336425 #38284]  INFO -- : (0.000349s) SELECT * FROM `tasks` WHERE (`id` = 37) LIMIT 1
I, [2019-04-02T18:23:43.651420 #38284]  INFO -- : (0.001424s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''example'' occur more frequently in the ''variables''?', `answer` = 'unicorn-worker-killer', `our` = 'unicorn-worker-killer', `left` = 'unicorn-worker-killer', `right` = 'rspec-set', `timestamp` = '2019-04-02 18:23:43.254026', `session_id` = 607 WHERE (`id` = 37)
I, [2019-04-02T18:23:43.652038 #38284]  INFO -- : (0.000385s) SELECT * FROM `tasks` WHERE (`id` = 37) LIMIT 1
I, [2019-04-02T18:23:45.854405 #38284]  INFO -- : (0.011183s) INSERT INTO `tasks` (`id`, `title`, `answer`, `our`, `left`, `right`, `timestamp`, `session_id`) VALUES (NULL, 'In which gems of two, does the word ''data'' occur more frequently in the ''variables''?', NULL, NULL, 'dorsale', 'barometer', '2019-04-02 18:23:45.835240', 607)
I, [2019-04-02T18:23:45.915240 #38284]  INFO -- : (0.002381s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''data'' occur more frequently in the ''variables''?', `answer` = NULL, `our` = 'dorsale', `left` = 'dorsale', `right` = 'barometer', `timestamp` = '2019-04-02 18:23:45.835240', `session_id` = 607 WHERE (`id` = 38)
I, [2019-04-02T18:23:45.915564 #38284]  INFO -- : (0.000189s) SELECT * FROM `tasks` WHERE (`id` = 38) LIMIT 1
I, [2019-04-02T18:23:46.198598 #38284]  INFO -- : (0.006490s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''data'' occur more frequently in the ''variables''?', `answer` = 'dorsale', `our` = 'dorsale', `left` = 'dorsale', `right` = 'barometer', `timestamp` = '2019-04-02 18:23:45.835240', `session_id` = 607 WHERE (`id` = 38)
I, [2019-04-02T18:23:46.199065 #38284]  INFO -- : (0.000260s) SELECT * FROM `tasks` WHERE (`id` = 38) LIMIT 1
I, [2019-04-02T18:23:48.381857 #38284]  INFO -- : (0.000823s) INSERT INTO `tasks` (`id`, `title`, `answer`, `our`, `left`, `right`, `timestamp`, `session_id`) VALUES (NULL, 'In which gems of two, does the word ''thread'' occur more frequently in the ''variables''?', NULL, NULL, 'swagger-docs', 'locale', '2019-04-02 18:23:48.372719', 607)
I, [2019-04-02T18:23:48.438168 #38284]  INFO -- : (0.000884s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''thread'' occur more frequently in the ''variables''?', `answer` = NULL, `our` = 'swagger-docs', `left` = 'swagger-docs', `right` = 'locale', `timestamp` = '2019-04-02 18:23:48.372719', `session_id` = 607 WHERE (`id` = 39)
I, [2019-04-02T18:23:48.438474 #38284]  INFO -- : (0.000178s) SELECT * FROM `tasks` WHERE (`id` = 39) LIMIT 1
I, [2019-04-02T18:23:48.716307 #38284]  INFO -- : (0.006468s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''thread'' occur more frequently in the ''variables''?', `answer` = 'swagger-docs', `our` = 'swagger-docs', `left` = 'swagger-docs', `right` = 'locale', `timestamp` = '2019-04-02 18:23:48.372719', `session_id` = 607 WHERE (`id` = 39)
I, [2019-04-02T18:23:48.716773 #38284]  INFO -- : (0.000268s) SELECT * FROM `tasks` WHERE (`id` = 39) LIMIT 1
I, [2019-04-02T18:23:50.912496 #38284]  INFO -- : (0.006443s) INSERT INTO `tasks` (`id`, `title`, `answer`, `our`, `left`, `right`, `timestamp`, `session_id`) VALUES (NULL, 'In which gems of two, does the word ''default'' occur more frequently in the ''variables''?', NULL, NULL, 'rubysl-abbrev', 'daybreak', '2019-04-02 18:23:50.894535', 607)
I, [2019-04-02T18:23:50.970357 #38284]  INFO -- : (0.001112s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''default'' occur more frequently in the ''variables''?', `answer` = NULL, `our` = 'rubysl-abbrev', `left` = 'rubysl-abbrev', `right` = 'daybreak', `timestamp` = '2019-04-02 18:23:50.894535', `session_id` = 607 WHERE (`id` = 40)
I, [2019-04-02T18:23:50.970654 #38284]  INFO -- : (0.000173s) SELECT * FROM `tasks` WHERE (`id` = 40) LIMIT 1
I, [2019-04-02T18:23:51.254547 #38284]  INFO -- : (0.006535s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''default'' occur more frequently in the ''variables''?', `answer` = 'rubysl-abbrev', `our` = 'rubysl-abbrev', `left` = 'rubysl-abbrev', `right` = 'daybreak', `timestamp` = '2019-04-02 18:23:50.894535', `session_id` = 607 WHERE (`id` = 40)
I, [2019-04-02T18:23:51.254940 #38284]  INFO -- : (0.000230s) SELECT * FROM `tasks` WHERE (`id` = 40) LIMIT 1
I, [2019-04-02T18:23:53.440713 #38284]  INFO -- : (0.002444s) INSERT INTO `tasks` (`id`, `title`, `answer`, `our`, `left`, `right`, `timestamp`, `session_id`) VALUES (NULL, 'In which gems of two, does the word ''unsupported'' occur more frequently in the ''variables''?', NULL, NULL, 'roauth', 'amazon_seller_central', '2019-04-02 18:23:53.429623', 607)
I, [2019-04-02T18:23:53.495068 #38284]  INFO -- : (0.002321s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''unsupported'' occur more frequently in the ''variables''?', `answer` = NULL, `our` = 'roauth', `left` = 'roauth', `right` = 'amazon_seller_central', `timestamp` = '2019-04-02 18:23:53.429623', `session_id` = 607 WHERE (`id` = 41)
I, [2019-04-02T18:23:53.495518 #38284]  INFO -- : (0.000258s) SELECT * FROM `tasks` WHERE (`id` = 41) LIMIT 1
I, [2019-04-02T18:23:53.773169 #38284]  INFO -- : (0.007372s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''unsupported'' occur more frequently in the ''variables''?', `answer` = 'roauth', `our` = 'roauth', `left` = 'roauth', `right` = 'amazon_seller_central', `timestamp` = '2019-04-02 18:23:53.429623', `session_id` = 607 WHERE (`id` = 41)
I, [2019-04-02T18:23:53.773789 #38284]  INFO -- : (0.000340s) SELECT * FROM `tasks` WHERE (`id` = 41) LIMIT 1
I, [2019-04-02T18:23:55.960614 #38284]  INFO -- : (0.007117s) INSERT INTO `tasks` (`id`, `title`, `answer`, `our`, `left`, `right`, `timestamp`, `session_id`) VALUES (NULL, 'In which gems of two, does the word ''serializer'' occur more frequently in the ''variables''?', NULL, NULL, 'danger-xcov', 'redis-session-store', '2019-04-02 18:23:55.940971', 607)
I, [2019-04-02T18:23:56.020724 #38284]  INFO -- : (0.002856s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''serializer'' occur more frequently in the ''variables''?', `answer` = NULL, `our` = 'danger-xcov', `left` = 'danger-xcov', `right` = 'redis-session-store', `timestamp` = '2019-04-02 18:23:55.940971', `session_id` = 607 WHERE (`id` = 42)
I, [2019-04-02T18:23:56.021048 #38284]  INFO -- : (0.000174s) SELECT * FROM `tasks` WHERE (`id` = 42) LIMIT 1
I, [2019-04-02T18:23:56.300126 #38284]  INFO -- : (0.006893s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''serializer'' occur more frequently in the ''variables''?', `answer` = 'danger-xcov', `our` = 'danger-xcov', `left` = 'danger-xcov', `right` = 'redis-session-store', `timestamp` = '2019-04-02 18:23:55.940971', `session_id` = 607 WHERE (`id` = 42)
I, [2019-04-02T18:23:56.300585 #38284]  INFO -- : (0.000260s) SELECT * FROM `tasks` WHERE (`id` = 42) LIMIT 1
I, [2019-04-02T18:23:58.479931 #38284]  INFO -- : (0.006497s) INSERT INTO `tasks` (`id`, `title`, `answer`, `our`, `left`, `right`, `timestamp`, `session_id`) VALUES (NULL, 'In which gems of two, does the word ''error'' occur more frequently in the ''variables''?', NULL, NULL, 'rspec-eventually', 'correios-frete', '2019-04-02 18:23:58.465445', 607)
I, [2019-04-02T18:23:58.537909 #38284]  INFO -- : (0.002528s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''error'' occur more frequently in the ''variables''?', `answer` = NULL, `our` = 'rspec-eventually', `left` = 'rspec-eventually', `right` = 'correios-frete', `timestamp` = '2019-04-02 18:23:58.465445', `session_id` = 607 WHERE (`id` = 43)
I, [2019-04-02T18:23:58.538213 #38284]  INFO -- : (0.000175s) SELECT * FROM `tasks` WHERE (`id` = 43) LIMIT 1
I, [2019-04-02T18:23:58.817182 #38284]  INFO -- : (0.002439s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''error'' occur more frequently in the ''variables''?', `answer` = 'rspec-eventually', `our` = 'rspec-eventually', `left` = 'rspec-eventually', `right` = 'correios-frete', `timestamp` = '2019-04-02 18:23:58.465445', `session_id` = 607 WHERE (`id` = 43)
I, [2019-04-02T18:23:58.817526 #38284]  INFO -- : (0.000196s) SELECT * FROM `tasks` WHERE (`id` = 43) LIMIT 1
I, [2019-04-02T18:24:01.007194 #38284]  INFO -- : (0.006412s) INSERT INTO `tasks` (`id`, `title`, `answer`, `our`, `left`, `right`, `timestamp`, `session_id`) VALUES (NULL, 'In which gems of two, does the word ''retryable'' occur more frequently in the ''variables''?', NULL, NULL, 'ordinalize_full', 'rspec-sidekiq', '2019-04-02 18:24:00.988792', 607)
I, [2019-04-02T18:24:01.066172 #38284]  INFO -- : (0.002515s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''retryable'' occur more frequently in the ''variables''?', `answer` = NULL, `our` = 'ordinalize_full', `left` = 'ordinalize_full', `right` = 'rspec-sidekiq', `timestamp` = '2019-04-02 18:24:00.988792', `session_id` = 607 WHERE (`id` = 44)
I, [2019-04-02T18:24:01.066467 #38284]  INFO -- : (0.000171s) SELECT * FROM `tasks` WHERE (`id` = 44) LIMIT 1
I, [2019-04-02T18:24:01.344205 #38284]  INFO -- : (0.006312s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''retryable'' occur more frequently in the ''variables''?', `answer` = 'ordinalize_full', `our` = 'ordinalize_full', `left` = 'ordinalize_full', `right` = 'rspec-sidekiq', `timestamp` = '2019-04-02 18:24:00.988792', `session_id` = 607 WHERE (`id` = 44)
I, [2019-04-02T18:24:01.344612 #38284]  INFO -- : (0.000224s) SELECT * FROM `tasks` WHERE (`id` = 44) LIMIT 1
I, [2019-04-02T18:24:03.526387 #38284]  INFO -- : (0.006342s) INSERT INTO `tasks` (`id`, `title`, `answer`, `our`, `left`, `right`, `timestamp`, `session_id`) VALUES (NULL, 'In which gems of two, does the word ''acceptance'' occur more frequently in the ''variables''?', NULL, NULL, 'ubuntu_ami', 'activemodel', '2019-04-02 18:24:03.508924', 607)
I, [2019-04-02T18:24:03.580815 #38284]  INFO -- : (0.001001s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''acceptance'' occur more frequently in the ''variables''?', `answer` = NULL, `our` = 'ubuntu_ami', `left` = 'ubuntu_ami', `right` = 'activemodel', `timestamp` = '2019-04-02 18:24:03.508924', `session_id` = 607 WHERE (`id` = 45)
I, [2019-04-02T18:24:03.584075 #38284]  INFO -- : (0.003103s) SELECT * FROM `tasks` WHERE (`id` = 45) LIMIT 1
I, [2019-04-02T18:24:03.868581 #38284]  INFO -- : (0.006497s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''acceptance'' occur more frequently in the ''variables''?', `answer` = 'ubuntu_ami', `our` = 'ubuntu_ami', `left` = 'ubuntu_ami', `right` = 'activemodel', `timestamp` = '2019-04-02 18:24:03.508924', `session_id` = 607 WHERE (`id` = 45)
I, [2019-04-02T18:24:03.869086 #38284]  INFO -- : (0.000283s) SELECT * FROM `tasks` WHERE (`id` = 45) LIMIT 1
I, [2019-04-02T18:24:06.053447 #38284]  INFO -- : (0.006576s) INSERT INTO `tasks` (`id`, `title`, `answer`, `our`, `left`, `right`, `timestamp`, `session_id`) VALUES (NULL, 'In which gems of two, does the word ''reloader'' occur more frequently in the ''variables''?', NULL, NULL, 'sidekiq', 'puppet-lint-fileserver-check', '2019-04-02 18:24:06.038804', 607)
I, [2019-04-02T18:24:06.110967 #38284]  INFO -- : (0.002409s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''reloader'' occur more frequently in the ''variables''?', `answer` = NULL, `our` = 'sidekiq', `left` = 'sidekiq', `right` = 'puppet-lint-fileserver-check', `timestamp` = '2019-04-02 18:24:06.038804', `session_id` = 607 WHERE (`id` = 46)
I, [2019-04-02T18:24:06.111314 #38284]  INFO -- : (0.000190s) SELECT * FROM `tasks` WHERE (`id` = 46) LIMIT 1
I, [2019-04-02T18:24:06.387928 #38284]  INFO -- : (0.001550s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''reloader'' occur more frequently in the ''variables''?', `answer` = 'sidekiq', `our` = 'sidekiq', `left` = 'sidekiq', `right` = 'puppet-lint-fileserver-check', `timestamp` = '2019-04-02 18:24:06.038804', `session_id` = 607 WHERE (`id` = 46)
I, [2019-04-02T18:24:06.388388 #38284]  INFO -- : (0.000263s) SELECT * FROM `tasks` WHERE (`id` = 46) LIMIT 1
I, [2019-04-02T18:24:08.559844 #38284]  INFO -- : (0.002441s) INSERT INTO `tasks` (`id`, `title`, `answer`, `our`, `left`, `right`, `timestamp`, `session_id`) VALUES (NULL, 'In which gems of two, does the word ''open'' occur more frequently in the ''variables''?', NULL, NULL, 'win32-event', 'opengraph_parser', '2019-04-02 18:24:08.542894', 607)
I, [2019-04-02T18:24:08.615906 #38284]  INFO -- : (0.000801s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''open'' occur more frequently in the ''variables''?', `answer` = NULL, `our` = 'win32-event', `left` = 'win32-event', `right` = 'opengraph_parser', `timestamp` = '2019-04-02 18:24:08.542894', `session_id` = 607 WHERE (`id` = 47)
I, [2019-04-02T18:24:08.616185 #38284]  INFO -- : (0.000165s) SELECT * FROM `tasks` WHERE (`id` = 47) LIMIT 1
I, [2019-04-02T18:24:08.891887 #38284]  INFO -- : (0.001002s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''open'' occur more frequently in the ''variables''?', `answer` = 'win32-event', `our` = 'win32-event', `left` = 'win32-event', `right` = 'opengraph_parser', `timestamp` = '2019-04-02 18:24:08.542894', `session_id` = 607 WHERE (`id` = 47)
I, [2019-04-02T18:24:08.892266 #38284]  INFO -- : (0.000217s) SELECT * FROM `tasks` WHERE (`id` = 47) LIMIT 1
I, [2019-04-02T18:24:11.068940 #38284]  INFO -- : (0.007314s) INSERT INTO `tasks` (`id`, `title`, `answer`, `our`, `left`, `right`, `timestamp`, `session_id`) VALUES (NULL, 'In which gems of two, does the word ''malloc'' occur more frequently in the ''variables''?', NULL, NULL, 'people', 'malloc', '2019-04-02 18:24:11.053439', 607)
I, [2019-04-02T18:24:11.126614 #38284]  INFO -- : (0.002381s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''malloc'' occur more frequently in the ''variables''?', `answer` = NULL, `our` = 'people', `left` = 'people', `right` = 'malloc', `timestamp` = '2019-04-02 18:24:11.053439', `session_id` = 607 WHERE (`id` = 48)
I, [2019-04-02T18:24:11.126992 #38284]  INFO -- : (0.000191s) SELECT * FROM `tasks` WHERE (`id` = 48) LIMIT 1
I, [2019-04-02T18:24:11.407221 #38284]  INFO -- : (0.001138s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''malloc'' occur more frequently in the ''variables''?', `answer` = 'people', `our` = 'people', `left` = 'people', `right` = 'malloc', `timestamp` = '2019-04-02 18:24:11.053439', `session_id` = 607 WHERE (`id` = 48)
I, [2019-04-02T18:24:11.407563 #38284]  INFO -- : (0.000199s) SELECT * FROM `tasks` WHERE (`id` = 48) LIMIT 1
I, [2019-04-02T18:24:13.587536 #38284]  INFO -- : (0.001779s) INSERT INTO `tasks` (`id`, `title`, `answer`, `our`, `left`, `right`, `timestamp`, `session_id`) VALUES (NULL, 'In which gems of two, does the word ''test'' occur more frequently in the ''variables''?', NULL, NULL, 'logstash-output-riemann', 'fluent-plugin-fields-parser', '2019-04-02 18:24:13.573787', 607)
I, [2019-04-02T18:24:13.658039 #38284]  INFO -- : (0.001069s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''test'' occur more frequently in the ''variables''?', `answer` = NULL, `our` = 'logstash-output-riemann', `left` = 'logstash-output-riemann', `right` = 'fluent-plugin-fields-parser', `timestamp` = '2019-04-02 18:24:13.573787', `session_id` = 607 WHERE (`id` = 49)
I, [2019-04-02T18:24:13.658422 #38284]  INFO -- : (0.000221s) SELECT * FROM `tasks` WHERE (`id` = 49) LIMIT 1
I, [2019-04-02T18:24:13.932761 #38284]  INFO -- : (0.006184s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''test'' occur more frequently in the ''variables''?', `answer` = 'logstash-output-riemann', `our` = 'logstash-output-riemann', `left` = 'logstash-output-riemann', `right` = 'fluent-plugin-fields-parser', `timestamp` = '2019-04-02 18:24:13.573787', `session_id` = 607 WHERE (`id` = 49)
I, [2019-04-02T18:24:13.933107 #38284]  INFO -- : (0.000188s) SELECT * FROM `tasks` WHERE (`id` = 49) LIMIT 1
I, [2019-04-02T18:24:16.102087 #38284]  INFO -- : (0.006244s) INSERT INTO `tasks` (`id`, `title`, `answer`, `our`, `left`, `right`, `timestamp`, `session_id`) VALUES (NULL, 'In which gems of two, does the word ''zippy'' occur more frequently in the ''variables''?', NULL, NULL, 'heroic-sns', 'zippy', '2019-04-02 18:24:16.087366', 607)
I, [2019-04-02T18:24:16.159444 #38284]  INFO -- : (0.002582s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''zippy'' occur more frequently in the ''variables''?', `answer` = NULL, `our` = 'heroic-sns', `left` = 'heroic-sns', `right` = 'zippy', `timestamp` = '2019-04-02 18:24:16.087366', `session_id` = 607 WHERE (`id` = 50)
I, [2019-04-02T18:24:16.159793 #38284]  INFO -- : (0.000190s) SELECT * FROM `tasks` WHERE (`id` = 50) LIMIT 1
I, [2019-04-02T18:24:16.423168 #38284]  INFO -- : (0.000831s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''zippy'' occur more frequently in the ''variables''?', `answer` = 'heroic-sns', `our` = 'heroic-sns', `left` = 'heroic-sns', `right` = 'zippy', `timestamp` = '2019-04-02 18:24:16.087366', `session_id` = 607 WHERE (`id` = 50)
I, [2019-04-02T18:24:16.423468 #38284]  INFO -- : (0.000170s) SELECT * FROM `tasks` WHERE (`id` = 50) LIMIT 1
I, [2019-04-02T18:25:45.464068 #38284]  INFO -- : (0.000846s) INSERT INTO `tasks` (`id`, `title`, `answer`, `our`, `left`, `right`, `timestamp`, `session_id`) VALUES (NULL, 'In which gems of two, does the word ''rails'' occur more frequently in the ''variables''?', NULL, NULL, 'daemons-rails', 'dm-serializer', '2019-04-02 18:25:45.451092', 607)
I, [2019-04-02T18:25:45.524716 #38284]  INFO -- : (0.002400s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''rails'' occur more frequently in the ''variables''?', `answer` = NULL, `our` = 'daemons-rails', `left` = 'daemons-rails', `right` = 'dm-serializer', `timestamp` = '2019-04-02 18:25:45.451092', `session_id` = 607 WHERE (`id` = 51)
I, [2019-04-02T18:25:45.525057 #38284]  INFO -- : (0.000206s) SELECT * FROM `tasks` WHERE (`id` = 51) LIMIT 1
I, [2019-04-02T18:25:45.808341 #38284]  INFO -- : (0.006316s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''rails'' occur more frequently in the ''variables''?', `answer` = 'daemons-rails', `our` = 'daemons-rails', `left` = 'daemons-rails', `right` = 'dm-serializer', `timestamp` = '2019-04-02 18:25:45.451092', `session_id` = 607 WHERE (`id` = 51)
I, [2019-04-02T18:25:45.808740 #38284]  INFO -- : (0.000206s) SELECT * FROM `tasks` WHERE (`id` = 51) LIMIT 1
I, [2019-04-02T18:25:47.970917 #38284]  INFO -- : (0.006649s) INSERT INTO `tasks` (`id`, `title`, `answer`, `our`, `left`, `right`, `timestamp`, `session_id`) VALUES (NULL, 'In which gems of two, does the word ''error'' occur more frequently in the ''variables''?', NULL, NULL, 'syck', 'daemons', '2019-04-02 18:25:47.955501', 607)
I, [2019-04-02T18:25:48.047319 #38284]  INFO -- : (0.003377s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''error'' occur more frequently in the ''variables''?', `answer` = NULL, `our` = 'syck', `left` = 'syck', `right` = 'daemons', `timestamp` = '2019-04-02 18:25:47.955501', `session_id` = 607 WHERE (`id` = 52)
I, [2019-04-02T18:25:48.047719 #38284]  INFO -- : (0.000219s) SELECT * FROM `tasks` WHERE (`id` = 52) LIMIT 1
I, [2019-04-02T18:25:48.309111 #38284]  INFO -- : (0.000823s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''error'' occur more frequently in the ''variables''?', `answer` = 'syck', `our` = 'syck', `left` = 'syck', `right` = 'daemons', `timestamp` = '2019-04-02 18:25:47.955501', `session_id` = 607 WHERE (`id` = 52)
I, [2019-04-02T18:25:48.309396 #38284]  INFO -- : (0.000168s) SELECT * FROM `tasks` WHERE (`id` = 52) LIMIT 1
I, [2019-04-02T18:25:50.498072 #38284]  INFO -- : (0.006204s) INSERT INTO `tasks` (`id`, `title`, `answer`, `our`, `left`, `right`, `timestamp`, `session_id`) VALUES (NULL, 'In which gems of two, does the word ''test'' occur more frequently in the ''variables''?', NULL, NULL, 'crxmake', 'ffi-libarchive', '2019-04-02 18:25:50.483705', 607)
I, [2019-04-02T18:25:50.553384 #38284]  INFO -- : (0.002385s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''test'' occur more frequently in the ''variables''?', `answer` = NULL, `our` = 'crxmake', `left` = 'crxmake', `right` = 'ffi-libarchive', `timestamp` = '2019-04-02 18:25:50.483705', `session_id` = 607 WHERE (`id` = 53)
I, [2019-04-02T18:25:50.553686 #38284]  INFO -- : (0.000174s) SELECT * FROM `tasks` WHERE (`id` = 53) LIMIT 1
I, [2019-04-02T18:25:50.829709 #38284]  INFO -- : (0.006558s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''test'' occur more frequently in the ''variables''?', `answer` = 'crxmake', `our` = 'crxmake', `left` = 'crxmake', `right` = 'ffi-libarchive', `timestamp` = '2019-04-02 18:25:50.483705', `session_id` = 607 WHERE (`id` = 53)
I, [2019-04-02T18:25:50.830094 #38284]  INFO -- : (0.000207s) SELECT * FROM `tasks` WHERE (`id` = 53) LIMIT 1
I, [2019-04-02T18:25:52.995868 #38284]  INFO -- : (0.006236s) INSERT INTO `tasks` (`id`, `title`, `answer`, `our`, `left`, `right`, `timestamp`, `session_id`) VALUES (NULL, 'In which gems of two, does the word ''uniqueue'' occur more frequently in the ''variables''?', NULL, NULL, 'resque-uniqueue', 'conduit-suretax', '2019-04-02 18:25:52.981700', 607)
I, [2019-04-02T18:25:53.049672 #38284]  INFO -- : (0.002358s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''uniqueue'' occur more frequently in the ''variables''?', `answer` = NULL, `our` = 'resque-uniqueue', `left` = 'resque-uniqueue', `right` = 'conduit-suretax', `timestamp` = '2019-04-02 18:25:52.981700', `session_id` = 607 WHERE (`id` = 54)
I, [2019-04-02T18:25:53.049984 #38284]  INFO -- : (0.000177s) SELECT * FROM `tasks` WHERE (`id` = 54) LIMIT 1
I, [2019-04-02T18:25:53.316975 #38284]  INFO -- : (0.002390s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''uniqueue'' occur more frequently in the ''variables''?', `answer` = 'resque-uniqueue', `our` = 'resque-uniqueue', `left` = 'resque-uniqueue', `right` = 'conduit-suretax', `timestamp` = '2019-04-02 18:25:52.981700', `session_id` = 607 WHERE (`id` = 54)
I, [2019-04-02T18:25:53.317296 #38284]  INFO -- : (0.000180s) SELECT * FROM `tasks` WHERE (`id` = 54) LIMIT 1
I, [2019-04-02T18:25:55.476097 #38284]  INFO -- : (0.000860s) INSERT INTO `tasks` (`id`, `title`, `answer`, `our`, `left`, `right`, `timestamp`, `session_id`) VALUES (NULL, 'In which gems of two, does the word ''not'' occur more frequently in the ''variables''?', NULL, NULL, 'Floppy-amee', 's3etag', '2019-04-02 18:25:55.467063', 607)
I, [2019-04-02T18:25:55.528834 #38284]  INFO -- : (0.002245s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''not'' occur more frequently in the ''variables''?', `answer` = NULL, `our` = 'Floppy-amee', `left` = 'Floppy-amee', `right` = 's3etag', `timestamp` = '2019-04-02 18:25:55.467063', `session_id` = 607 WHERE (`id` = 55)
I, [2019-04-02T18:25:55.529133 #38284]  INFO -- : (0.000174s) SELECT * FROM `tasks` WHERE (`id` = 55) LIMIT 1
I, [2019-04-02T18:25:55.809656 #38284]  INFO -- : (0.006446s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''not'' occur more frequently in the ''variables''?', `answer` = 'Floppy-amee', `our` = 'Floppy-amee', `left` = 'Floppy-amee', `right` = 's3etag', `timestamp` = '2019-04-02 18:25:55.467063', `session_id` = 607 WHERE (`id` = 55)
I, [2019-04-02T18:25:55.810118 #38284]  INFO -- : (0.000254s) SELECT * FROM `tasks` WHERE (`id` = 55) LIMIT 1
I, [2019-04-02T18:25:57.969751 #38284]  INFO -- : (0.006104s) INSERT INTO `tasks` (`id`, `title`, `answer`, `our`, `left`, `right`, `timestamp`, `session_id`) VALUES (NULL, 'In which gems of two, does the word ''error'' occur more frequently in the ''variables''?', NULL, NULL, 'cocoapods', 'heroku-forward', '2019-04-02 18:25:57.955487', 607)
I, [2019-04-02T18:25:58.024606 #38284]  INFO -- : (0.002481s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''error'' occur more frequently in the ''variables''?', `answer` = NULL, `our` = 'cocoapods', `left` = 'cocoapods', `right` = 'heroku-forward', `timestamp` = '2019-04-02 18:25:57.955487', `session_id` = 607 WHERE (`id` = 56)
I, [2019-04-02T18:25:58.025086 #38284]  INFO -- : (0.000269s) SELECT * FROM `tasks` WHERE (`id` = 56) LIMIT 1
I, [2019-04-02T18:25:58.323518 #38284]  INFO -- : (0.018870s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''error'' occur more frequently in the ''variables''?', `answer` = 'cocoapods', `our` = 'cocoapods', `left` = 'cocoapods', `right` = 'heroku-forward', `timestamp` = '2019-04-02 18:25:57.955487', `session_id` = 607 WHERE (`id` = 56)
